entity,country,entity_type,value,market_cap,ticker_symbol,currency
China (Coal & Cement),China,State,217771,,,
USSR,USSR,State,118251,,,
Saudi Aramco,Saudi Arabia,SOE,54364,133.02B,TADAWUL: 2222,SAR
Chevron,USA,IOC,48513,134.13B,NYSE: CVX,USD
ExxonMobil,USA,IOC,45293,146.47B,NYSE: XOM,USD
Gazprom,Russia,SOE,32281,103.93B,OTCMKTS: OGZPY,USD
BP,UK,IOC,35451,59.68B,NYSE: BP,USD
Royal Dutch Shell,Netherlands,IOC,33085,96.78B,NYSE: RDS.A,USD
National Iranian Oil Co.,Iran,SOE,33193,,,
Poland,Poland,State,24345,,,
Pemex,Mexico,SOE,21058,,,
Coal India,India,SOE,20779,721.66B,NSE: COALINDIA,INR
British Coal Corporation,UK,SOE,17742,,,
ConocoPhillips,USA,IOC,15962,36.15B,NYSE: COP,USD
Russian Federation,Russia,State,16678,,,
Peabody Energy,USA,IOC,14509,298.29M,NYSE: BTU,USD
Petroleos de Venezuela,Venezuela,SOE,14421,,,
PetroChina (CNPC),China,SOE,13813,103.98B,NYSE: PTR,USD
Total,France,IOC,12788,86.76B,NYSE: TOT,USD
Abu Dhabi,UAE,SOE,12330,155.159B,TAQA:UH,AED
Kuwait Petroleum Corp.,Kuwait,SOE,12634,,,
Iraq National Oil Company,Iraq,SOE,11729,,,
Sonatrach,Algeria,SOE,10239,,,
BHP Billiton,Australia,IOC,8794,121.71B,NYSE: BBL,USD
CONSOL Energy,USA,IOC,8844,114.03M,NYSE: CEIX,USD
Czechoslovakia,Czechoslovakia,State,8634,,,
Petrobras,Brazil,SOE,7873,47.89B,NYSE: PBR,USD
Nigerian National Petroleum,Nigeria,SOE,7852,,,
Qatar Petroleum,Qatar,SOE,6745,17.209B,QFLS.QA,QAR
ENI,Italy,IOC,6592,56.40B,NYSE: E,USD
Anglo American,UK,IOC,6864,32.00B,OTCMKTS: NGLOY,USD
Pertamina,Indonesia,SOE,6643,,,
Libya National Oil Corp.,Libya,SOE,6893,,,
Petronas,Malaysia,SOE,6176,32.412B,6033:MK,MYR
Rosneft,Russia,SOE,6548,66.96B,OTCMKTS: OJSCY,USD
Arch Coal Company,USA,IOC,6439,704.917M,ARCH:US,USD
RWE,Germany,IOC,6425,22.54B,OTCMKTS: RWEOY,USD
Rio Tinto,UK,IOC,6033,,,
Kazakhstan,Kazakhstan,State,5783,,,
Equinor,Norway,SOE,5441,47.20B,NYSE: EQNR,USD
Lukoil,Russia,IOC,5622,40.36B,OTCMKTS: LUKOY,USD
Anadarko,USA,IOC,5231,,,
"Contura (AlphaNR, Massey)",USA,IOC,5309,151.42M,NYSE: CTRA,USD
Occidental,USA,IOC,5255,9.51B,NYSE: OXY,USD
Oil and Gas Corp.,India,SOE,4553,870.04B,NSE: ONGC,INR
Repsol,Spain,IOC,4377,10.90B,OTCMKTS: REPYY,USD
Ukraine,Ukraine,State,4204,,,
Glencore,Switzerland,IOC,4203,,,
Sasol,South Africa,IOC,3986,4.95B,NYSE: SSL,USD
North Korea,North Korea,State,3474,,,
Egyptian General Petroleum,Egypt,SOE,3180,,,
Petroleum Development Oman,Oman,SOE,3134,,,
Marathon,USA,IOC,3032,18.63B,NYSE: MPC,USD
Petoro ,Norway,SOE,2883,,,
