entity,value
Afghanistan,159.01743
Albania,267.89899
Algeria,3984.43459
Andorra,13.16429
Angola,603.35901
Anguilla,2.87728
Antarctic Fisheries,0.15414
Antigua & Barbuda,21.20526
Argentina,7787.11243
Armenia,103.38757
Aruba,44.43636
Australia,16349.44997
Austria,5117.45534
Azerbaijan,871.4782
Bahamas,158.23205
Bahrain,796.27256
Bangladesh,1236.48906
Barbados,50.34506
Belarus,1534.42333
Belgium,11883.87471
Belize,16.75355
Benin,90.30035
Bermuda,26.54878
Bhutan,13.48725
Bolivia,445.60406
"Bonaire, Saint Eustatius, And Saba",1.6148
Bosnia & Herzegovina,381.26529
Botswana,122.60369
Brazil,13863.92045
British Virgin Islands,4.8811
Brunei (Darussalam),323.04074
Bulgaria,3601.58753
Burkina Faso,48.41831
Burundi,10.48886
Cambodia,102.56182
Canada,30626.79225
Cape Verde,10.99899
Cayman Islands,15.18279
Central African Republic,11.10909
Chad,22.72831
Chile,2597.15257
China,194147.9949
Christmas Island,1.33221
Colombia,3084.1946
Comoros,4.05902
Congo,68.40513
Cook Islands,1.77995
Costa Rica,224.62602
Cote D Ivoire,308.78646
Croatia,489.84958
Cuba,1544.21122
Curacao,28.90492
Cyprus,255.29254
Czech Republic,2931.18496
Czechoslovakia,11241.81555
Democratic Republic Of The Congo,184.30373
Democratic Republic Of Vietnam,90.4655
Denmark,3857.61407
Djibouti,18.22155
Dominica,4.19481
Dominican Republic,660.0862
East & West Pakistan,337.85653
East Germany,12189.51598
Ecuador,1069.26551
Egypt,5472.59023
El Salvador,210.20292
Equatorial Guinea,116.2289
Eritrea,15.05434
Estonia,434.36285
Ethiopia,201.43162
Faeroe Islands,27.85897
Falkland Islands (Malvinas),4.88844
Federated States Of Micronesia,3.10849
Federation Of Malaya-Singapore,64.25803
Fiji,46.60533
Finland,2938.03685
Former Democratic Yemen,130.22628
Former Panama Canal Zone,14.78643
Former Yemen,37.19545
France,36213.69931
French Equatorial Africa,2.66442
French Guiana,23.12834
French Indo-China,14.08546
French Polynesia,25.41475
French West Africa,9.78422
Gabon,241.0456
Gambia,11.86144
Georgia,160.51112
Federal Republic Of Germany,27495.13354
Germany,48294.40713
Ghana,314.41991
Gibraltar,12.61379
Greece,3511.50371
Greenland,27.44426
Grenada,7.06108
Guadeloupe,70.24747
Guatemala,372.94173
Guinea,75.66072
Guinea Bissau,8.91443
Guyana,88.07633
Haiti,66.10771
Honduras,222.64789
Hong Kong,1469.90106
Hungary,4764.94817
Iceland,112.70203
India,46514.1672
Indonesia,11715.56851
Iraq,3826.9292
Ireland,2002.27493
Islamic Republic Of Iran,16098.84769
Israel,2175.03284
Italy,22801.84579
Jamaica,417.33772
Japan,4021.37314
Japan,55813.31229
Jordan,613.31205
Kazakhstan,4856.11831
Kenya,407.2232
Kiribati,1.83867
Kosovo,73.13209
Kuwait,2534.76624
Kuwaiti Oil Fires,478.70746
Kyrgyzstan,173.96167
Lao People S Democratic Republic,75.7855
Latvia,204.07035
Lebanon,634.52098
Leeward Islands,0.17983
